GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AMCP Core,org.amcp.cli,AMCPCli,84,0,6,0,34,0,8,0,4,0
AMCP Core,org.amcp.demo,AMCPDemo,505,0,32,0,150,0,31,0,12,0
AMCP Core,org.amcp.demo,AMCPDemo.DemoAgent,113,0,4,0,31,0,7,0,5,0
AMCP Core,org.amcp.demo,AMCPDemo.DemoAgentContext,116,0,8,0,26,0,13,0,9,0
AMCP Core,org.amcp.core,Agent,182,295,15,11,32,76,23,20,10,20
AMCP Core,org.amcp.core,AgentContext,17,0,0,0,7,0,4,0,4,0
AMCP Core,org.amcp.core,AgentState,0,39,0,0,0,7,0,1,0,1
AMCP Core,org.amcp.core,EventPriority,0,27,0,0,0,5,0,1,0,1
AMCP Core,org.amcp.core,Event,60,157,5,13,8,37,9,19,4,15
AMCP Core,org.amcp.core,AgentDeactivationException,5,0,0,0,2,0,1,0,1,0
AMCP Core,org.amcp.core,AgentActivationException,5,0,0,0,2,0,1,0,1,0
AMCP Core,org.amcp.core,Event.Builder,48,77,0,0,13,21,3,11,3,11
